Name,Description
Wireless Earbuds,Compact and portable Bluetooth earphones with noise-canceling feature.
Smart Water Bottle,Hydration tracker with temperature control and reminder notifications.
Solar Power Bank,"Portable battery charger powered by solar energy, ideal for travel."
Ergonomic Chair,Office chair with lumbar support and adjustable height for comfort.
Fitness Tracker,"Wearable device for monitoring heart rate, steps, and sleep patterns."
Noise-Canceling Headset,Over-ear headphones with active noise cancellation and superior audio.
Smart Thermostat,Programmable thermostat with Wi-Fi connectivity and energy-saving modes.
Electric Kettle,Quick-boiling stainless steel kettle with temperature control settings.
Robot Vacuum Cleaner,Automated vacuum cleaner with smart mapping and scheduling functionality.
Adjustable Standing Desk,Height-adjustable desk designed for ergonomic work and sitting/standing options.
